# Time-averaged data for fix fixflux1
# TimeStep v_ptemp f_fix10 f_fix11 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
217320000 307.386 -576.205 42.2689 4.64852e-10 4.71526e-10 2.80689e-10 1.24247e-10 2.47803e-10 2.23188e-10 2.2065e-10 2.2065e-10
217330000 312.363 -567.383 63.6478 -4.13461e-10 -4.27807e-10 -3.19084e-10 -5.91884e-11 -2.20041e-10 -2.02879e-10 -2.03885e-10 -2.03885e-10
217340000 314.312 -607.035 74.1645 -2.19569e-10 -2.82695e-10 -1.11635e-10 -4.3708e-11 -1.62426e-10 -1.24596e-10 -1.26372e-10 -1.26372e-10
217350000 315.262 -573.156 67.3818 -4.96929e-10 -5.57284e-10 -2.7441e-10 -1.15517e-10 -3.06307e-10 -2.54769e-10 -2.52839e-10 -2.52839e-10
217360000 316.089 -584.683 63.6367 -7.05876e-10 -7.55256e-10 -4.39429e-10 -1.70945e-10 -4.0005e-10 -3.56438e-10 -3.54061e-10 -3.54061e-10
217370000 317.83 -592.533 58.488 -9.60016e-10 -1.06414e-09 -6.69895e-10 -1.78516e-10 -5.51704e-10 -5.02227e-10 -5.01617e-10 -5.01617e-10
217380000 315.77 -578.529 73.9282 -9.6814e-10 -1.10409e-09 -6.90381e-10 -1.87566e-10 -5.43009e-10 -5.19692e-10 -5.19149e-10 -5.19149e-10
217390000 315.595 -586.375 83.2241 -9.87851e-10 -1.06352e-09 -6.26226e-10 -1.99627e-10 -5.64886e-10 -4.94227e-10 -4.90158e-10 -4.90158e-10
217400000 316.695 -570.575 99.9602 -7.67833e-10 -7.81244e-10 -4.59381e-10 -1.45454e-10 -4.66226e-10 -3.55264e-10 -3.59934e-10 -3.59934e-10
217410000 314.501 -605.495 78.899 1.68618e-10 1.28977e-10 1.19174e-10 1.66262e-11 1.04711e-10 6.43109e-11 6.6295e-11 6.6295e-11
217420000 316.075 -560.821 52.4967 3.02565e-10 3.59336e-10 2.06043e-10 7.03997e-11 1.58379e-10 1.7089e-10 1.65621e-10 1.65621e-10
217430000 316.227 -586.876 56.0872 2.19663e-10 2.14247e-10 1.13937e-10 6.56149e-11 1.23679e-10 9.87808e-11 9.9149e-11 9.9149e-11
217440000 314.649 -572.999 51.7099 6.79396e-10 7.36113e-10 4.24465e-10 1.47761e-10 3.85733e-10 3.40075e-10 3.38687e-10 3.38687e-10
217450000 317.118 -609.604 75.9132 1.07922e-09 1.23968e-09 6.46397e-10 2.46084e-10 6.55636e-10 5.72995e-10 5.70394e-10 5.70394e-10
217460000 315.888 -583.348 96.8018 1.1371e-09 1.2601e-09 7.15175e-10 2.62742e-10 6.332e-10 5.82348e-10 5.79116e-10 5.79116e-10
217470000 314.424 -633.293 95.965 9.76691e-10 1.13666e-09 6.32199e-10 1.95719e-10 6.02341e-10 5.36096e-10 5.31582e-10 5.31582e-10
217480000 313.98 -616.009 87.3052 7.46332e-10 8.478e-10 4.61048e-10 1.7196e-10 4.26438e-10 3.91643e-10 3.88139e-10 3.88139e-10
217490000 316.267 -603.617 61.1413 3.03627e-10 3.14843e-10 1.73298e-10 7.9621e-11 1.67344e-10 1.41333e-10 1.43203e-10 1.43203e-10
217500000 318.229 -604.187 83.142 1.64111e-10 2.01418e-10 1.46163e-10 1.74647e-11 9.31862e-11 9.67591e-11 9.77199e-11 9.77199e-11
217510000 315.68 -609.104 65.4904 -4.44242e-11 -1.96238e-11 -3.93054e-11 -8.65206e-12 -1.3168e-11 -1.25872e-11 -1.22281e-11 -1.22281e-11
217520000 313.398 -593.611 53.4312 -4.13867e-10 -4.53335e-10 -3.03655e-10 -4.44563e-11 -2.52595e-10 -2.11554e-10 -2.12932e-10 -2.12932e-10
217530000 311.471 -602.214 63.399 -2.50867e-10 -2.91193e-10 -1.52606e-10 -5.26713e-11 -1.44284e-10 -1.28139e-10 -1.29506e-10 -1.29506e-10
217540000 308.483 -586.459 88.3315 -1.57274e-10 -1.4641e-10 -5.84901e-11 -6.73163e-11 -9.28942e-11 -7.41489e-11 -7.04964e-11 -7.04964e-11
217550000 306.019 -576.128 68.1435 -4.79763e-10 -6.23029e-10 -3.0128e-10 -7.89955e-11 -3.54837e-10 -2.9505e-10 -2.93357e-10 -2.93357e-10
217560000 307.464 -599.403 41.0103 -6.70775e-10 -7.01171e-10 -3.68355e-10 -1.62696e-10 -4.18658e-10 -3.30035e-10 -3.27535e-10 -3.27535e-10
217570000 311.389 -588.079 70.5169 -9.78986e-10 -1.09588e-09 -6.33271e-10 -1.9151e-10 -6.03058e-10 -5.14057e-10 -5.14697e-10 -5.14697e-10
217580000 313.461 -628.694 78.3717 -8.20132e-10 -9.17812e-10 -5.54444e-10 -1.66506e-10 -4.44809e-10 -4.19542e-10 -4.20745e-10 -4.20745e-10
217590000 311.657 -580.631 56.335 -5.29493e-10 -5.89876e-10 -3.50208e-10 -1.10727e-10 -2.96583e-10 -2.80205e-10 -2.74526e-10 -2.74526e-10
217600000 315.93 -592.3 68.0086 -6.72471e-10 -7.98977e-10 -4.83965e-10 -1.07679e-10 -4.05642e-10 -3.72762e-10 -3.74138e-10 -3.74138e-10
217610000 311.775 -537.257 60.1466 -4.98336e-10 -5.77657e-10 -2.80682e-10 -1.2425e-10 -3.21039e-10 -2.64662e-10 -2.67488e-10 -2.67488e-10
217620000 313.954 -559.711 72.1898 1.08031e-10 1.08605e-10 8.0409e-11 2.83147e-12 7.95462e-11 5.34373e-11 5.41993e-11 5.41993e-11
217630000 313.826 -602.265 71.8765 7.32959e-10 8.17634e-10 4.5487e-10 1.52105e-10 4.48757e-10 3.7921e-10 3.79904e-10 3.79904e-10
217640000 316.266 -614.599 81.3717 7.25703e-10 8.36009e-10 4.6942e-10 1.34216e-10 4.35606e-10 3.84219e-10 3.83442e-10 3.83442e-10
217650000 315.556 -598.223 48.3131 6.31964e-10 6.99709e-10 3.6909e-10 1.23327e-10 4.15229e-10 3.19656e-10 3.23762e-10 3.23762e-10
217660000 315.959 -602.211 65.9675 2.7631e-10 2.86839e-10 1.5868e-10 4.43774e-11 1.73113e-10 1.18821e-10 1.2638e-10 1.2638e-10
217670000 316.306 -606.679 96.4263 4.93845e-10 5.60443e-10 3.49017e-10 1.02399e-10 2.70137e-10 2.63007e-10 2.6279e-10 2.6279e-10
217680000 318.006 -589.844 82.9995 3.23975e-10 4.05057e-10 1.82417e-10 1.05232e-10 1.9061e-10 1.94297e-10 1.8841e-10 1.8841e-10
217690000 315.745 -631.803 105.037 1.31641e-10 1.55949e-10 7.42349e-11 6.13008e-11 6.55939e-11 8.09279e-11 7.65915e-11 7.65915e-11
217700000 322.197 -645.748 85.9642 3.12678e-10 3.96384e-10 2.28014e-10 5.99942e-11 1.69123e-10 1.80547e-10 1.80346e-10 1.80346e-10
217710000 324.644 -642.938 86.368 -3.01134e-10 -3.54005e-10 -1.87407e-10 -5.39571e-11 -2.01678e-10 -1.62799e-10 -1.64678e-10 -1.64678e-10
