# Time-averaged data for fix fixflux1
# TimeStep v_ptemp f_fix1 f_fix2 f_fix3 f_fix4 f_fix5 f_fix6 f_fix7 f_fix8 f_fix9 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
14550000 293.835 -7.52099 11.7026 201.266 6.18159 -18.6029 47.565 57.7339 -22.75 90.0687 -1.61968e-10 -4.21962e-10 -2.12179e-10 1.64337e-10 -3.15363e-10 -1.8829e-10 -2.02872e-10 -2.02872e-10
14560000 294.632 -33.4173 6.43016 191.259 0.346605 1.03567 42.0828 108.592 -53.4788 76.7975 -2.75012e-10 -6.93052e-10 -6.37825e-10 2.79755e-10 -2.17229e-10 -3.02908e-10 -3.24062e-10 -3.24062e-10
14570000 294.469 -23.3573 17.2506 171.617 10.2966 -2.43412 43.6246 97.5177 -75.7885 64.9342 5.7907e-10 8.94165e-10 8.26985e-10 -1.61995e-10 3.1132e-10 4.15673e-10 4.2677e-10 4.2677e-10
14580000 294.294 -12.0713 -19.7443 181.791 -4.18433 7.56214 60.7846 90.4255 -51.7677 71.059 1.20932e-09 1.55985e-09 8.22159e-10 1.88119e-10 7.72928e-10 7.32353e-10 7.16523e-10 7.16523e-10
14590000 295.239 -38.7838 -29.446 195.86 -9.85894 -10.1298 74.828 80.6061 -43.374 92.8567 4.88857e-10 3.55285e-10 5.55221e-11 1.96703e-10 3.02838e-10 1.60788e-10 1.4557e-10 1.4557e-10
14600000 294.893 -33.2415 7.79393 171.58 31.0145 11.0608 74.1533 76.5441 -56.55 89.9759 8.24282e-10 1.0978e-09 4.47865e-10 1.64326e-10 6.81514e-10 5.16674e-10 5.20974e-10 5.20974e-10
14610000 295.422 -57.802 -21.5345 196.508 -22.3375 33.9289 69.896 107.825 -32.4349 83.0071 9.70447e-10 9.87168e-10 5.98301e-10 1.45741e-10 6.10828e-10 4.36931e-10 4.5213e-10 4.5213e-10
14620000 295.296 -22.4221 -10.4819 165.171 0.661135 -2.45458 72.9978 76.5803 -88.19 71.6637 3.36583e-10 2.64794e-10 1.49532e-10 3.96962e-11 2.63044e-10 1.29442e-10 1.27481e-10 1.27481e-10
14630000 295.183 -19.6826 -46.1531 166.332 -4.4603 -8.27461 73.0768 94.7864 -57.293 58.0926 3.71819e-10 4.56922e-10 3.15334e-10 7.1825e-11 1.60642e-10 2.02854e-10 2.0894e-10 2.0894e-10
14640000 294.635 -40.2758 -17.9942 165.915 3.79342 -5.39786 75.5211 79.7551 -50.3632 69.8006 4.72286e-11 -2.9712e-10 -2.3761e-10 2.51051e-10 -7.36093e-11 -1.27061e-10 -1.32895e-10 -1.32895e-10
14650000 293.95 0.107237 -8.01525 157.523 17.8728 15.0863 70.3614 72.7964 -48.2452 67.6666 4.61586e-10 5.78225e-10 3.19981e-10 8.15088e-11 2.14448e-10 2.37007e-10 2.42396e-10 2.42396e-10
