# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
17900000 19015.1 -715958
17910000 18991.5 -716007
17920000 18985.8 -715986
17930000 19031 -715899
17940000 19027.9 -715947
17950000 19008.6 -715971
17960000 19013.8 -715984
17970000 19001.8 -716045
17980000 19035 -715834
17990000 19000.2 -715922
18000000 18991.2 -716012
18010000 19011.3 -715981
18020000 19018.2 -715966
18030000 19035 -715887
18040000 19028.5 -715904
18050000 19037.5 -715894
18060000 19012.1 -715950
18070000 19039.5 -715860
18080000 19011.3 -716009
18090000 19012.4 -715941
18100000 19012.1 -715929
18110000 19037.7 -715903
18120000 19035.4 -715936
18130000 19033.5 -715980
18140000 19016.8 -715995
18150000 19018.6 -715954
18160000 19044.8 -715970
18170000 19042.6 -715928
18180000 19038.5 -715886
18190000 19056.8 -715848
18200000 19027.2 -715975
18210000 19051.7 -715926
18220000 19012.2 -715980
18230000 19026.8 -715895
18240000 19036.4 -715917
18250000 19072.4 -715872
18260000 19085.3 -715911
18270000 19041.3 -715975
18280000 19037 -715889
18290000 19044.2 -715980
18300000 19065.2 -715968
18310000 19074.9 -715915
18320000 19029.3 -715901
18330000 19043 -715901
18340000 19042.7 -715897
18350000 19045.2 -715855
18360000 19016.6 -715897
18370000 19072 -715878
18380000 19053.3 -715937
18390000 19012.1 -716024
18400000 19036.2 -715939
18410000 19049.9 -715843
18420000 19002.9 -715927
18430000 19040 -716014
18440000 19069.2 -715874
18450000 19029.4 -715973
18460000 19057 -715970
18470000 19067.1 -715948
18480000 19055.1 -715885
18490000 19060.7 -715932
18500000 19060.9 -715919
18510000 19035.5 -715887
18520000 19042 -715987
18530000 19057.5 -715902
18540000 19044.5 -715971
18550000 19018.4 -716009
18560000 19033 -715958
18570000 19022.1 -715899
18580000 19017.4 -716000
18590000 19057.7 -715919
18600000 19039.6 -715919
18610000 19037.1 -715883
18620000 19042.1 -715910
18630000 19061.3 -715935
18640000 19026.4 -715992
18650000 19035.4 -715971
18660000 19038.2 -715904
18670000 19041.3 -715906
18680000 19036.8 -715974
18690000 19025 -715989
18700000 19030 -716000
18710000 19041.7 -715959
18720000 19035.6 -715920
18730000 19023 -716022
18740000 19031.8 -715928
18750000 19015.4 -715900
18760000 19006.7 -716006
18770000 19017.7 -715936
18780000 19020.9 -715970
18790000 19029 -715907
18800000 19025.9 -715952
18810000 19042.7 -715962
18820000 19029.6 -716013
18830000 19025.9 -715991
18840000 19042 -715985
18850000 19062.5 -715938
18860000 19020.4 -715973
18870000 19025.9 -715983
18880000 19030.9 -715969
18890000 19038.3 -715896
18900000 19017.3 -715960
18910000 19045.1 -715967
18920000 19035.1 -715936
18930000 19028.9 -715988
18940000 19020.5 -715967
18950000 19024.6 -715919
18960000 19035.6 -715923
18970000 19047.7 -715923
18980000 19045.2 -715958
18990000 19017.6 -715999
19000000 19036.3 -715971
19010000 19032.7 -715957
19020000 19031.9 -715930
19030000 19006.7 -716000
19040000 19039.7 -715920
19050000 19019.1 -715980
19060000 19063.8 -715936
19070000 19025.9 -716034
19080000 18997.8 -715914
19090000 19028.5 -715936
19100000 19014.2 -715951
19110000 19022.4 -715962
19120000 19037.4 -715969
19130000 19027.5 -716004
19140000 19016.9 -715969
19150000 19020.4 -715938
19160000 18992.2 -715969
19170000 19022.8 -715997
19180000 19007.2 -715950
19190000 18998.2 -716056
19200000 19013.4 -715956
19210000 19001.9 -716027
19220000 18982.8 -716120
19230000 19009.1 -716035
19240000 18989.9 -716040
19250000 18992.8 -715991
19260000 18992.6 -716006
19270000 19000.8 -715972
19280000 19027.8 -715915
19290000 19010 -716004
19300000 19012 -715943
19310000 19000.6 -716029
19320000 18988 -716002
19330000 18990.3 -716001
19340000 19016.6 -715979
19350000 19004.9 -715968
19360000 19038.8 -715911
19370000 19026 -715935
19380000 19017.2 -715984
19390000 19046.7 -715912
19400000 19013.3 -715949
19410000 19026.9 -715930
19420000 19029.5 -715951
19430000 19024.2 -715868
19440000 19036.4 -715909
19450000 19038.5 -715979
19460000 19058.2 -715939
19470000 19058.3 -715917
19480000 19047.3 -715950
19490000 19066.1 -715898
19500000 19051.4 -715961
19510000 19068.8 -715942
19520000 19072.3 -715923
19530000 19027 -715967
19540000 19073.9 -715934
19550000 19047.7 -715936
19560000 19064.2 -715892
19570000 19080 -715918
19580000 19075.8 -715988
19590000 19074.8 -715919
19600000 19056 -715938
19610000 19034 -715901
19620000 19057 -715872
19630000 19047 -715899
19640000 19061.7 -715940
19650000 19031.4 -715951
19660000 19050.3 -715914
19670000 19063.3 -715890
19680000 19028.5 -716000
19690000 19019.9 -715980
19700000 19063.2 -715950
19710000 19059.9 -715951
19720000 19057.6 -715944
19730000 19076.9 -715916
19740000 19052.6 -715993
19750000 19043.4 -715911
19760000 19057.9 -715850
19770000 19070.5 -715899
19780000 19069.1 -715923
19790000 19067.9 -715888
19800000 19059.8 -715926
19810000 19061.5 -715884
19820000 19062.8 -715878
19830000 19059.5 -715931
19840000 19051.7 -715924
19850000 19098.3 -715882
19860000 19075.2 -715909
19870000 19070.4 -715917
19880000 19047.4 -715926
19890000 19042.1 -715890
19900000 19060.3 -715917
19910000 19063.2 -715944
19920000 19063.9 -715911
19930000 19028.6 -715964
19940000 19068.4 -715941
19950000 19067.4 -715870
19960000 19052.4 -715959
19970000 19045.9 -715984
19980000 19043.2 -715975
19990000 19059.2 -715923
20000000 19043.7 -715929
20010000 19057.6 -715911
20020000 19027.6 -715945
20030000 19055.9 -715961
20040000 19025.1 -715987
20050000 19039.7 -715963
20060000 19012 -715996
20070000 19035 -715997
20080000 19049.2 -715956
20090000 19036.5 -715966
20100000 19011.1 -715971
20110000 19049.4 -715939
20120000 19030 -715989
20130000 19022.6 -716001
20140000 19039.5 -715926
20150000 19032.1 -715986
20160000 19040 -715942
20170000 19051 -715901
20180000 19074.2 -715881
20190000 19068.6 -715894
20200000 19034.4 -716022
20210000 19023.5 -715944
20220000 19063.8 -715840
20230000 19030.9 -715917
20240000 19030.4 -715978
20250000 19053.3 -715941
20260000 19033.1 -715968
20270000 19037.9 -715902
20280000 19050.6 -715892
20290000 19068.4 -715890
20300000 19057.1 -715916
20310000 19009.8 -716010
20320000 19041.3 -716023
20330000 19043.5 -715978
20340000 19042 -715936
20350000 19045 -715974
20360000 19038.1 -715979
20370000 19055.6 -715940
20380000 19033.3 -715925
20390000 19063 -715877
20400000 19039 -715893
20410000 19021 -715916
20420000 19050.3 -715895
20430000 19030.3 -715996
20440000 19046.8 -715992
20450000 19050.8 -715956
20460000 19050.4 -715947
20470000 19004 -716005
20480000 19030.3 -716017
20490000 19026 -716012
20500000 19022.5 -715976
20510000 19039.6 -715949
20520000 19057.2 -715894
20530000 19069.8 -715896
20540000 19049.6 -715895
20550000 19034.4 -715991
