# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
18110000 21356.8 -713396
18120000 21324.6 -713400
18130000 21339.2 -713498
18140000 21308 -713479
18150000 21343.8 -713533
18160000 21351.1 -713465
18170000 21354.5 -713404
18180000 21358.9 -713313
18190000 21326.3 -713402
18200000 21336.2 -713446
18210000 21359.8 -713359
18220000 21331.2 -713445
18230000 21353.3 -713412
18240000 21340.4 -713405
18250000 21343.9 -713389
18260000 21362.3 -713309
18270000 21339.4 -713357
18280000 21363.6 -713281
18290000 21334.2 -713457
18300000 21373.7 -713414
18310000 21371.6 -713394
18320000 21375.1 -713388
18330000 21364.1 -713491
18340000 21363.8 -713429
18350000 21390.6 -713360
18360000 21368.2 -713396
18370000 21391.4 -713369
18380000 21384.6 -713336
18390000 21331.7 -713487
18400000 21359.4 -713481
18410000 21376.8 -713458
18420000 21405.5 -713393
18430000 21348 -713408
18440000 21379.2 -713388
18450000 21370.5 -713397
18460000 21334.9 -713484
18470000 21373.2 -713407
18480000 21375.7 -713412
18490000 21384 -713370
18500000 21325.1 -713407
18510000 21349.6 -713411
18520000 21347.9 -713461
18530000 21318.1 -713487
18540000 21355.2 -713433
18550000 21363.1 -713363
18560000 21310.8 -713452
18570000 21302.9 -713432
18580000 21312.2 -713555
18590000 21344.4 -713464
18600000 21354.8 -713408
18610000 21345.1 -713422
18620000 21326.3 -713499
18630000 21327.9 -713408
18640000 21299.9 -713410
18650000 21341.1 -713452
18660000 21310.5 -713551
18670000 21308.7 -713492
18680000 21335.1 -713423
18690000 21288.5 -713433
18700000 21338.4 -713461
18710000 21315.5 -713504
18720000 21305.6 -713437
18730000 21326 -713446
18740000 21273.7 -713479
18750000 21303.9 -713494
18760000 21318.5 -713486
18770000 21330.1 -713400
18780000 21287.9 -713527
18790000 21313.9 -713489
18800000 21296 -713550
18810000 21309.7 -713460
18820000 21329.8 -713408
18830000 21334.4 -713370
18840000 21294.7 -713391
18850000 21309.3 -713392
18860000 21306.3 -713438
18870000 21331.9 -713469
18880000 21313 -713437
18890000 21297.5 -713493
18900000 21282.7 -713451
18910000 21350.3 -713458
18920000 21296.1 -713510
18930000 21290.5 -713545
18940000 21317.5 -713411
18950000 21268.7 -713480
18960000 21311.4 -713457
18970000 21287.2 -713438
18980000 21276.2 -713489
18990000 21278.2 -713505
19000000 21336.5 -713446
19010000 21310.2 -713403
19020000 21329.3 -713383
19030000 21297.5 -713450
19040000 21283.2 -713492
19050000 21306.2 -713508
19060000 21297.3 -713520
19070000 21349.6 -713384
19080000 21332.3 -713394
19090000 21314.1 -713349
19100000 21309.5 -713375
19110000 21342.5 -713363
19120000 21354.8 -713468
19130000 21293.3 -713523
19140000 21340.4 -713452
19150000 21324.2 -713443
19160000 21319.7 -713458
19170000 21338.3 -713444
19180000 21302.9 -713518
19190000 21341 -713404
19200000 21294.6 -713434
19210000 21313.2 -713394
19220000 21300 -713486
19230000 21334.2 -713528
19240000 21331.9 -713507
19250000 21266.1 -713539
19260000 21318.3 -713389
19270000 21304 -713369
19280000 21305.5 -713443
19290000 21335.9 -713426
19300000 21322.1 -713517
19310000 21319.6 -713432
19320000 21302.4 -713472
19330000 21324.1 -713480
19340000 21322.2 -713516
19350000 21318.6 -713452
19360000 21286.2 -713429
19370000 21336.7 -713408
19380000 21347.7 -713391
19390000 21341.5 -713485
19400000 21303.5 -713462
19410000 21308.8 -713377
19420000 21268.7 -713440
19430000 21342.5 -713441
19440000 21339.1 -713455
19450000 21349.7 -713455
19460000 21360 -713422
19470000 21296.9 -713495
19480000 21361.9 -713398
19490000 21330.4 -713457
19500000 21315.7 -713520
19510000 21300.6 -713539
19520000 21331.7 -713372
19530000 21328.1 -713489
19540000 21309.7 -713493
19550000 21272 -713460
19560000 21319.5 -713382
19570000 21343.4 -713427
19580000 21335 -713386
19590000 21316.9 -713442
19600000 21327.4 -713421
19610000 21329.8 -713410
19620000 21337.8 -713401
19630000 21342.9 -713469
19640000 21353.1 -713433
19650000 21317.7 -713517
19660000 21310.5 -713477
19670000 21302.1 -713465
19680000 21326 -713431
19690000 21315.2 -713522
19700000 21330.3 -713503
19710000 21313.9 -713500
19720000 21349 -713442
19730000 21304.9 -713455
19740000 21320.5 -713443
19750000 21323.8 -713447
19760000 21361.4 -713383
19770000 21327.6 -713398
19780000 21365.9 -713350
19790000 21318.4 -713404
19800000 21315.3 -713469
19810000 21293.4 -713532
19820000 21307.3 -713432
19830000 21327.7 -713447
19840000 21324.3 -713480
19850000 21351.4 -713436
19860000 21308.5 -713365
19870000 21362.9 -713397
19880000 21313.7 -713408
19890000 21307.8 -713445
19900000 21310.4 -713514
19910000 21334.6 -713425
19920000 21311.6 -713523
19930000 21323.3 -713521
19940000 21322.3 -713576
19950000 21335.1 -713549
19960000 21345.7 -713405
19970000 21352.9 -713426
19980000 21339.9 -713381
19990000 21359.1 -713370
20000000 21359.3 -713454
20010000 21350.1 -713383
20020000 21370.2 -713427
20030000 21313.3 -713364
20040000 21339.7 -713357
20050000 21349.9 -713389
20060000 21336.3 -713488
20070000 21351.6 -713383
20080000 21345.5 -713488
20090000 21342.2 -713443
20100000 21312 -713423
20110000 21346.9 -713412
20120000 21339.3 -713368
20130000 21353.7 -713479
20140000 21324.7 -713477
20150000 21347.1 -713388
20160000 21336.3 -713424
20170000 21312.3 -713403
20180000 21302.5 -713464
20190000 21314.5 -713407
20200000 21341.9 -713467
20210000 21332.8 -713508
20220000 21340.1 -713452
20230000 21324.8 -713423
20240000 21313.7 -713375
20250000 21324.1 -713525
20260000 21311.2 -713375
20270000 21320.8 -713470
20280000 21309 -713502
20290000 21306 -713443
20300000 21330.7 -713465
20310000 21301.7 -713455
20320000 21341.3 -713402
20330000 21304.1 -713456
20340000 21310.6 -713440
20350000 21325.2 -713343
20360000 21335.6 -713411
20370000 21337.5 -713606
20380000 21288.5 -713600
20390000 21301.8 -713524
20400000 21294 -713499
20410000 21286.5 -713504
20420000 21288.5 -713429
20430000 21276.3 -713550
20440000 21297.8 -713465
20450000 21283.6 -713541
20460000 21314.1 -713442
20470000 21255.6 -713510
20480000 21307.9 -713463
20490000 21320.1 -713466
20500000 21274.1 -713508
20510000 21314.7 -713451
20520000 21293.9 -713417
20530000 21314.7 -713410
20540000 21286.9 -713490
20550000 21310.3 -713438
20560000 21316.9 -713419
20570000 21333.4 -713422
20580000 21268.5 -713503
20590000 21290.1 -713473
20600000 21315.4 -713478
20610000 21283.8 -713485
20620000 21295.7 -713469
20630000 21291.3 -713503
20640000 21326.7 -713361
20650000 21302.1 -713461
20660000 21305.7 -713403
20670000 21284.3 -713520
20680000 21320.6 -713465
20690000 21288 -713463
20700000 21301.9 -713484
20710000 21306.3 -713445
20720000 21284.7 -713453
20730000 21257.6 -713418
20740000 21299.3 -713446
20750000 21281.8 -713467
20760000 21277.4 -713426
20770000 21287.6 -713478
20780000 21307.1 -713428
20790000 21269.4 -713565
20800000 21261.8 -713488
20810000 21316.3 -713358
20820000 21276.7 -713444
20830000 21296.3 -713431
20840000 21293.8 -713539
20850000 21243 -713545
20860000 21271.6 -713425
20870000 21286.9 -713389
20880000 21273.2 -713434
20890000 21306.6 -713470
20900000 21288.3 -713465
20910000 21254.8 -713512
20920000 21262.7 -713515
20930000 21247.8 -713546
20940000 21251.5 -713537
20950000 21265.7 -713554
20960000 21269.9 -713496
20970000 21267.1 -713594
20980000 21257.4 -713518
20990000 21263.4 -713548
21000000 21292.2 -713507
21010000 21280.1 -713479
21020000 21286.4 -713433
21030000 21276.2 -713439
21040000 21293.5 -713478
21050000 21279.7 -713531
21060000 21288.9 -713474
21070000 21288.5 -713403
21080000 21281.9 -713510
21090000 21277.6 -713502
21100000 21265.4 -713486
21110000 21274.4 -713500
21120000 21289.7 -713411
21130000 21264.2 -713552
21140000 21260.6 -713515
21150000 21263 -713470
21160000 21265.8 -713490
21170000 21282.5 -713452
21180000 21262.6 -713529
21190000 21277.6 -713484
21200000 21289.5 -713483
21210000 21293.4 -713427
21220000 21285.8 -713502
21230000 21283.3 -713538
21240000 21263.3 -713458
21250000 21288.8 -713401
21260000 21278 -713473
21270000 21253 -713445
21280000 21233.3 -713385
21290000 21252.4 -713364
21300000 21262.8 -713513
21310000 21277.6 -713571
21320000 21264.5 -713455
21330000 21255.4 -713441
21340000 21292.9 -713467
21350000 21255.1 -713519
21360000 21272.9 -713475
21370000 21271.4 -713538
21380000 21228.6 -713572
21390000 21242.3 -713525
21400000 21297 -713465
21410000 21249.5 -713534
21420000 21207.8 -713620
21430000 21233.9 -713506
21440000 21235.8 -713510
21450000 21221 -713567
21460000 21243.7 -713532
21470000 21223.3 -713530
21480000 21239 -713511
21490000 21243.7 -713549
21500000 21202.3 -713568
21510000 21241.8 -713481
21520000 21218 -713526
21530000 21237.1 -713528
21540000 21243.1 -713503
21550000 21240.9 -713533
21560000 21250.4 -713504
21570000 21271.6 -713505
21580000 21263.1 -713437
21590000 21247.5 -713517
21600000 21258.3 -713509
21610000 21251.3 -713482
21620000 21265 -713464
21630000 21254.4 -713490
21640000 21241.3 -713530
21650000 21250.6 -713557
21660000 21262.1 -713502
21670000 21285.6 -713441
21680000 21266.3 -713467
21690000 21262.8 -713506
21700000 21241.9 -713575
21710000 21265.9 -713619
21720000 21250.7 -713545
21730000 21236.8 -713606
21740000 21251.8 -713422
21750000 21263.7 -713479
21760000 21266.6 -713441
21770000 21259.2 -713429
21780000 21260.3 -713465
21790000 21250 -713480
21800000 21248 -713529
21810000 21253.5 -713610
21820000 21277.3 -713493
21830000 21241.8 -713532
21840000 21253.8 -713434
21850000 21252.4 -713465
21860000 21294.2 -713450
21870000 21278.4 -713470
21880000 21278.9 -713412
21890000 21296.6 -713390
21900000 21236.5 -713484
21910000 21229.3 -713550
21920000 21256.6 -713504
21930000 21219.3 -713495
21940000 21246.4 -713613
21950000 21263.9 -713567
21960000 21229.9 -713602
21970000 21227.3 -713488
21980000 21229.4 -713554
21990000 21258.2 -713551
22000000 21227.4 -713445
22010000 21263.1 -713488
22020000 21281.4 -713476
22030000 21242.3 -713459
22040000 21235.2 -713560
22050000 21259.5 -713498
22060000 21245 -713533
22070000 21265.7 -713507
22080000 21275.6 -713497
22090000 21276 -713537
22100000 21247.9 -713486
22110000 21293.8 -713454
22120000 21258.8 -713428
22130000 21260.2 -713422
22140000 21274.8 -713457
22150000 21269.4 -713504
22160000 21258.5 -713563
22170000 21243.5 -713543
22180000 21242.7 -713573
22190000 21263.1 -713504
22200000 21251.1 -713452
22210000 21245.1 -713538
22220000 21275.7 -713593
22230000 21281.8 -713467
22240000 21260.7 -713390
22250000 21266.1 -713418
22260000 21250.9 -713492
22270000 21253.4 -713517
22280000 21247.1 -713521
22290000 21222.5 -713608
22300000 21230.6 -713640
22310000 21263.9 -713499
22320000 21248.9 -713545
22330000 21266.2 -713512
22340000 21234 -713553
22350000 21254.1 -713404
22360000 21258.9 -713513
22370000 21239 -713551
22380000 21268.1 -713417
22390000 21247.3 -713484
22400000 21262 -713481
22410000 21297.2 -713435
22420000 21253 -713466
22430000 21255.7 -713534
22440000 21274.9 -713446
22450000 21269.4 -713503
22460000 21253.4 -713514
22470000 21279.2 -713451
22480000 21308.1 -713387
22490000 21280.5 -713490
22500000 21282.4 -713495
22510000 21297.5 -713474
22520000 21295.7 -713507
22530000 21249.3 -713477
22540000 21260.7 -713482
22550000 21238.6 -713570
22560000 21268.1 -713527
22570000 21258.8 -713516
22580000 21238.2 -713502
22590000 21228.4 -713479
22600000 21272.2 -713455
22610000 21279.2 -713456
22620000 21268.2 -713488
22630000 21268.4 -713515
22640000 21274.2 -713477
22650000 21282.3 -713441
22660000 21261.3 -713524
22670000 21253.4 -713528
22680000 21257.6 -713480
22690000 21226.5 -713449
22700000 21267.6 -713413
22710000 21258.3 -713440
22720000 21267.1 -713427
22730000 21266.2 -713445
22740000 21262.6 -713460
22750000 21239.5 -713546
22760000 21264 -713550
22770000 21248.8 -713496
22780000 21255.4 -713537
22790000 21269.2 -713464
22800000 21261.2 -713456
22810000 21267.3 -713500
22820000 21267.2 -713461
22830000 21260.4 -713493
22840000 21276.9 -713457
22850000 21232.5 -713516
22860000 21261.6 -713537
22870000 21247.5 -713437
22880000 21252.2 -713492
22890000 21260.9 -713494
22900000 21255.3 -713499
22910000 21221.7 -713533
22920000 21258.1 -713440
22930000 21210 -713518
22940000 21230.2 -713524
22950000 21233.8 -713518
22960000 21238.5 -713568
22970000 21232.5 -713456
22980000 21254.5 -713408
22990000 21266.8 -713459
23000000 21246.5 -713540
23010000 21266.9 -713466
23020000 21253.2 -713483
23030000 21245.4 -713556
23040000 21244.5 -713550
23050000 21275.7 -713473
23060000 21259 -713505
23070000 21260 -713546
23080000 21240.7 -713570
23090000 21253.6 -713448
23100000 21276 -713371
23110000 21266.4 -713456
23120000 21258 -713478
23130000 21247.3 -713422
23140000 21264.3 -713506
23150000 21295.3 -713430
23160000 21263.3 -713421
23170000 21224.2 -713439
23180000 21295.1 -713389
23190000 21273.9 -713471
23200000 21278.2 -713373
23210000 21267.5 -713481
23220000 21270.6 -713500
23230000 21295.1 -713485
23240000 21251.7 -713541
23250000 21275.7 -713568
23260000 21263.2 -713524
23270000 21260.9 -713547
23280000 21279.8 -713461
23290000 21296.9 -713479
23300000 21267.3 -713558
23310000 21267.9 -713476
23320000 21260 -713569
23330000 21262.8 -713542
23340000 21261.7 -713525
23350000 21272.6 -713437
23360000 21284.9 -713380
23370000 21271.3 -713489
23380000 21277.1 -713518
23390000 21281.9 -713479
23400000 21276.6 -713484
23410000 21228.9 -713575
23420000 21268.6 -713574
23430000 21281 -713516
23440000 21244.8 -713538
23450000 21274.5 -713508
23460000 21267.1 -713527
23470000 21279.8 -713525
23480000 21250 -713539
23490000 21296.7 -713404
23500000 21279.8 -713456
23510000 21261.9 -713491
23520000 21276.2 -713457
23530000 21260.9 -713461
23540000 21294.3 -713448
23550000 21277.4 -713467
23560000 21241.8 -713550
23570000 21246.6 -713579
23580000 21250.2 -713552
23590000 21272.3 -713434
23600000 21263.6 -713477
23610000 21248.3 -713495
23620000 21228.5 -713521
23630000 21254.2 -713599
23640000 21226.3 -713621
23650000 21240.6 -713568
23660000 21254.9 -713502
23670000 21254.3 -713557
23680000 21272.5 -713452
23690000 21221 -713534
