# Time-averaged data for fix fixflux1
# TimeStep v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1
636000 -1.38814e-06 -1.47829e-06 -9.83668e-07 8.19021e-08 -3.15679e-07 -3.41668e-07
637000 -1.00903e-06 -4.89372e-07 1.75827e-07 -3.26758e-07 -6.39526e-07 -2.99663e-07
638000 -7.44423e-07 -3.14328e-07 2.37273e-08 -4.49054e-07 -4.64659e-07 -4.70523e-08
639000 1.13e-06 1.30511e-07 -4.60795e-07 7.98887e-07 7.09768e-07 1.27604e-07
640000 -2.07198e-07 1.33775e-06 1.17387e-06 -1.34695e-06 -1.73699e-07 3.06867e-07
641000 -6.52154e-07 9.99832e-09 -3.97862e-07 -2.99383e-07 -2.19313e-08 6.23131e-08
642000 -1.75188e-06 4.74404e-09 -9.80865e-07 -8.6479e-07 2.7201e-08 1.21595e-07
643000 4.26873e-07 3.58271e-07 8.77077e-07 -3.35376e-07 1.24889e-07 -1.86978e-09
644000 -9.2897e-07 -1.40764e-07 -6.52586e-07 -1.07591e-07 -3.21775e-07 4.53578e-08
645000 -2.14369e-06 -1.03375e-06 -1.65449e-06 7.65776e-08 -4.32105e-07 -3.86211e-07
646000 7.96746e-07 1.32845e-06 9.24314e-07 -4.80854e-07 -4.0782e-08 3.72916e-07
647000 2.1774e-06 2.8855e-06 1.40624e-06 -3.99838e-07 9.09847e-07 8.56417e-07
648000 -3.82529e-07 1.07231e-06 3.45617e-07 -1.17618e-06 4.48335e-07 2.89295e-07
649000 -3.16939e-06 -3.52163e-06 -2.56086e-06 7.995e-07 -1.12754e-06 -1.05948e-06
650000 -1.97404e-06 -1.01564e-06 -9.16709e-07 -2.90844e-07 -7.94582e-07 -2.74608e-07
651000 -5.23585e-07 1.11954e-06 1.10021e-06 -1.25002e-06 -3.12277e-07 2.8294e-07
652000 1.25952e-06 9.04608e-07 7.51391e-07 6.956e-08 1.81201e-07 3.14036e-07
653000 6.31248e-07 -1.63074e-07 -7.84135e-08 5.66696e-07 2.41944e-09 -5.3271e-08
654000 -9.43459e-07 -4.38935e-07 -8.6213e-07 -1.4656e-07 2.34433e-08 -7.45539e-10
655000 -1.46293e-06 -1.82509e-06 -1.03927e-06 5.12185e-07 -4.97537e-07 -6.88889e-07
656000 8.93818e-07 5.11521e-07 2.22924e-07 1.07225e-07 4.0433e-07 2.29176e-07
657000 4.44904e-07 1.84757e-06 1.62293e-06 -1.26211e-06 1.44619e-07 4.17562e-07
658000 2.27031e-07 1.65663e-06 8.70911e-07 -9.09948e-07 -8.44663e-09 4.65268e-07
659000 -8.51427e-07 -1.10874e-07 -1.29936e-06 3.32478e-07 8.55592e-09 -3.34962e-08
660000 1.24251e-07 5.41244e-07 9.71571e-07 -7.13574e-07 -9.35072e-08 2.57612e-07
661000 -1.54733e-06 -9.20468e-07 -1.17499e-06 -2.02924e-07 -6.29285e-08 -2.49904e-07
662000 -1.045e-06 -9.80949e-07 -1.34154e-06 -9.1013e-08 2.03766e-07 -2.00886e-07
