# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
867000 71350 -23793
868000 71398.3 -23851.4
869000 71407.1 -23866.8
870000 71196.9 -23957.3
871000 71179.5 -24048.7
872000 71337.6 -23901.4
873000 71357.2 -23808.5
874000 71350.1 -23738.7
875000 71450.2 -23681.6
876000 71356.2 -23779.5
877000 71378.4 -23699.5
878000 71319.6 -23794.6
879000 71197.8 -23865.4
880000 71146.1 -23846.5
881000 71155.7 -23846.5
882000 71170.7 -23853.1
883000 71190.3 -23759.5
884000 71350.6 -23722.7
885000 71252.7 -23733.7
886000 71156.8 -23884
887000 71087.9 -23920.9
888000 71092.6 -23986.7
889000 71181.6 -23896.8
890000 71186.7 -23816.1
891000 71268.1 -23730.3
892000 71236.1 -23852.3
893000 71074.5 -23972.6
894000 71220.3 -23856.2
895000 71230.2 -23923.7
896000 71229.8 -23913.7
897000 71186.9 -23856.1
898000 71306.5 -23750.7
899000 71275.4 -23758.8
900000 71227.8 -23777.7
901000 71202.2 -23792.4
902000 71224.8 -23886.4
903000 71235.8 -23832.4
904000 71187.6 -23786.5
905000 71104.8 -23844
906000 71088.6 -23869.1
907000 71108.9 -23863.5
908000 71131.1 -23867.3
909000 71090.7 -23915.2
910000 71061 -24019.5
911000 71038.9 -23983.8
912000 71191.1 -23883.5
913000 71093.9 -24039.6
914000 71043.8 -23993.1
915000 71236.4 -23861.9
916000 71238 -23829.8
917000 71116.9 -23877.4
918000 71103.8 -23957
919000 71149.6 -23982.6
920000 71119.2 -24025.7
921000 71133.1 -23944.5
922000 71105.8 -23960.6
923000 70998.4 -24018.3
924000 71028.4 -24101.3
925000 71091.9 -23970.9
926000 71087.5 -23886.3
927000 71089 -23953.4
928000 71111.4 -23830.9
929000 71168.9 -23788.9
930000 71111.3 -24030.2
931000 71098.1 -23979.7
932000 71111.7 -23989.7
933000 71203.1 -24014.8
934000 71108.8 -23953.6
935000 71282.5 -23841.9
936000 71413.3 -23740.2
937000 71486.4 -23651.5
938000 71257.1 -23833.3
939000 71192.4 -23835.3
940000 71255.8 -23836.2
941000 71237 -23858.7
942000 71297.7 -23793.9
943000 71279 -23748.8
944000 71162 -23770.4
945000 71255.2 -23761.9
946000 71232 -23721.1
947000 71301.4 -23659.8
948000 71328 -23645.5
949000 71449.4 -23612.6
950000 71363 -23644.6
951000 71379 -23702.9
952000 71425.8 -23668
953000 71362.5 -23688.1
954000 71428.8 -23741.5
955000 71497 -23634.6
956000 71521.8 -23541.1
957000 71520.4 -23503.5
958000 71380.4 -23576.1
959000 71311.7 -23687.4
960000 71297.7 -23702.3
961000 71541.2 -23574.5
962000 71488.7 -23612.4
963000 71492.1 -23563.8
964000 71513.1 -23498.8
965000 71436.4 -23574.2
966000 71456.8 -23607.7
967000 71441.3 -23476.3
968000 71495 -23444.6
969000 71401 -23639.9
970000 71419.1 -23688.8
971000 71447 -23646.1
972000 71286.9 -23805.1
973000 71380.9 -23782.5
974000 71361 -23665.8
975000 71482.3 -23591.6
976000 71706.5 -23427.2
977000 71627.4 -23464.7
978000 71637.9 -23467.4
979000 71546.2 -23550.6
980000 71466.8 -23544.9
981000 71567.1 -23532.8
982000 71566.3 -23483.1
983000 71623.3 -23533.2
984000 71763.1 -23414.6
985000 71618.5 -23509.7
986000 71727.9 -23394
987000 71631.6 -23397.5
988000 71581.5 -23505.9
